Institute,City,State,Rank,college_id
G. L. A. University,Mathura,Uttar Pradesh,164,164
G.L.Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,165,165
Indian Institute of Information Technology Guwahati,Guwahati,Assam,166,166
Indira Gandhi Delhi Technical University for Women,Delhi,Delhi,167,167
Institute of Aeronautical Engineering,Hyderabad,Telangana,168,168
Institute of Engineering & Management,Kolkata,West Bengal,169,169
J. C. Bose University of Science and Technology YMCA,Faridabad,Haryana,170,170
Jawaharlal Nehru Technological University,Ananthapuramu,Andhra Pradesh,171,171
JSPM's Rajarshi Shahu College of Engineering,Pune,Maharashtra,172,172
KIET Group of Institutions: KIET Group of Pharmacy,Ghaziabad,Uttar Pradesh,173,173
KLE Technological University,Dharwad,Karnataka,174,174
Kumaraguru College of Technology,Coimbatore,Tamil Nadu,175,175
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,176,176
Maulana Azad National Urdu University,Hyderabad,Telangana,177,177
National Engineering College,Kovilpatti,Tamil Nadu,178,178
National Institute of Advanced Manufacturing Technology Ranchi,Ranchi,Jharkhand,179,179
National Institute of Food Technology Entrepreneurship and Management,Sonipat,Haryana,180,180
National Institute of Technology Nagaland,Dimapur,Nagaland,181,181
National Institute of Technology Sikkim,South Sikkim,Sikkim,182,182
New Horizon College of Engineering,Bengaluru,Karnataka,183,183
NMAM Institute of Technology,Nitte Udupi,Karnataka,184,184
North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh,185,185
R.M.K. Engineering College,Thiruvallur,Tamil Nadu,186,186
Rajalakshmi Institute of Technology,Thiruvallur,Tamil Nadu,187,187
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,188,188
Sona College of Technology,SALEM,Tamil Nadu,189,189
Sri Krishna College of Technology,Coimbatore,Tamil Nadu,190,190
Sri Ramakrishna Engineering College,Coimbatore,Tamil Nadu,191,191
Sri Venkateswara College of Engineering,Sriperumbudur,Tamil Nadu,192,192
Tezpur University,Tezpur,Assam,193,193
The National Institute of Engineering,Mysuru,Karnataka,194,194
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,195,195
Vardhaman College of Engineering,Rangareddy,Telangana,196,196
Veer Surendra Sai University of Technology,Burla,Odisha,197,197
Velagapudi Ramakrishna Siddhartha Engineering College,VIJAYAWADA,Andhra Pradesh,198,198
Vignan Institute of Technology and Science,Yadadri-Bhuvangiri,Telangana,199,199
Yeshwantrao Chavan College of Engineering,Nagpur,Maharashtra,200,200
